event_date,source,category,title,url,impact_country_or_channel,notes
2025-09-16,Federal Register,Entity List,"Additions and Revisions to the Entity List",https://www.federalregister.gov/documents/2025/09/16/2025-17893/additions-and-revisions-to-the-entity-list,"China, India, Iran, Singapore, Taiwan, Turkey, UAE",BIS EAR rule update
2025-01-16,Federal Register,ICTS,"Securing the Information and Communications Technology and Services Supply Chain: Connected Vehicles",https://www.federalregister.gov/documents/2025/01/16/2025-00592/securing-the-information-and-communications-technology-and-services-supply-chain-connected-vehicles,Connected vehicles supply chain,BIS final rule
2025-01-15,Federal Register,AI/Chips,"Framework for Artificial Intelligence Diffusion",https://www.federalregister.gov/documents/2025/01/15/2025-00636/framework-for-artificial-intelligence-diffusion,Advanced computing IC and AI model weights,BIS interim final rule
2024-11-01,Federal Register,Entity List,"Additions and Revisions of Entities to the Entity List",https://www.federalregister.gov/documents/2024/11/01/2024-25411/additions-and-revisions-of-entities-to-the-entity-list,"China, India, Malaysia, Russia, Singapore, Turkey",Entity list expansion and revisions
2024-10-02,Federal Register,VEU/AI,"Expansion of Validated End User Authorization: Data Center Validated End User Authorization",https://www.federalregister.gov/documents/2024/10/02/2024-22587/expansion-of-validated-end-user-authorization-data-center-validated-end-user-authorization,Data center VEU and advanced computing items,BIS EAR amendment
2024-09-06,Federal Register,CCL/Advanced Tech,"Commerce Control List Additions and Revisions; Implementation of Controls on Advanced Technologies Consistent With Controls Implemented by International Partners",https://www.federalregister.gov/documents/2024/09/06/2024-19633/commerce-control-list-additions-and-revisions-implementation-of-controls-on-advanced-technologies,Semiconductor/quantum/additive manufacturing controls,CCL ECCN changes
2024-08-27,Federal Register,Entity List,"Revisions to the Entity List",https://www.federalregister.gov/documents/2024/08/27/2024-19130/revisions-to-the-entity-list,"China, Russia, Iran, Turkey, UAE and others",Large entity list additions
2024-04-04,Federal Register,Advanced Computing/SME,"Implementation of Additional Export Controls: Certain Advanced Computing Items; Supercomputer and Semiconductor End Use; Updates and Corrections; and Export Controls on Semiconductor Manufacturing Items; Corrections and Clarifications",https://www.federalregister.gov/documents/2024/04/04/2024-07004/implementation-of-additional-export-controls-certain-advanced-computing-items-supercomputer-and,Advanced computing and semiconductor manufacturing end-use,Corrections and clarifications
2024-03-21,Federal Register,SDN End-User Controls,"Export Administration Regulations End-User Controls: Imposition of Restrictions on Certain Persons Identified on the List of Specially Designated Nationals and Blocked Persons (SDN List)",https://www.federalregister.gov/documents/2024/03/21/2024-06067/export-administration-regulations-end-user-controls-imposition-of-restrictions-on-certain-persons,Sanctions-linked EAR controls,OFAC SDN-linked controls
2023-10-25,Federal Register,Advanced Computing,"Implementation of Additional Export Controls: Certain Advanced Computing Items; Supercomputer and Semiconductor End Use; Updates and Corrections",https://www.federalregister.gov/documents/2023/10/25/2023-23055/implementation-of-additional-export-controls-certain-advanced-computing-items-supercomputer-and,Advanced computing and supercomputer end-use,AC/S IFR update
