event_key,source,source_tier,eligible_for_model,title,parsed_title,published_at,parsed_publish_date,resolved_url,body_char_count,full_text_path,full_text_sha256,duplicate_body,article_date,predicted_causes,predicted_events,v2_location,v2_event_type,v2_impact_target,predicted_object_top3,source_tier,v2_confidence,full_text_chars_used,ground_truth_event_type,ground_truth_impact_target,ground_truth_location,ground_truth_object_type,channel,confirmation_status,confirmation_date,listening_detection_date,event_type_match,impact_target_match,location_match,object_top3_hit,lead_days,available_by_confirmation
covid_q1_2020,BBC News,mainstream,True,China coronavirus: Lockdown measures rise across Hubei province,China coronavirus: Lockdown measures rise across Hubei province,2020-01-23,2020-01-23T07:08:40+00:00,https://www.bbc.com/news/world-asia-china-51217455,5806,data/raw/disruption_news/covid_q1_2020/china-coronavirus-lockdown-measures-rise-across-hubei-province.txt,cdaff2ec44317dd001169db9309a9a9d3dfb324978184a9c282f9b234097d731,False,2020-01-23,pandemic; flood,capacity_restriction,"Japan; Thailand; Korea, South; China; Taiwan",pandemic,supply_source,semiconductor_fabrication; semiconductor_materials; electronics,major_news,0.92,5806,pandemic,supply_source,China,electronics_clusters,supply_source,confirmed,2020-05-01,2020-01-12,True,True,True,False,99.0,True
japan_earthquake_2011,BBC News,mainstream,True,Japan earthquake: Tsunami hits north-east,Japan earthquake: Tsunami hits north-east,2011-03-11,2011-03-11T06:14:49+00:00,https://www.bbc.com/news/world-asia-pacific-12709598,2483,data/raw/disruption_news/japan_earthquake_2011/japan-earthquake-tsunami-hits-north-east.txt,e502bf921e7bab99530948c632b425febcabf0b44b558298804023ea39d4fb41,False,2011-03-11,earthquake,physical_disaster,Japan; China,logistics_disruption,transport_channel,port_terminal,major_news,0.92,2483,earthquake,supply_source,Japan,semiconductor_fabrication,supply_source,confirmed,2011-04-01,2011-03-11,False,False,True,False,21.0,True
malaysia_asia_shock_2021,japantimes.co.jp,mainstream,True,Chip supplies to take new hit as COVID - 19 surges in Malaysia,Chip supplies to take new hit as COVID-19 surges in Malaysia,20210824T044500Z,2021-08-24T00:00:00,https://www.japantimes.co.jp/news/2021/08/24/business/malaysia-chipmakers-coronavirus/,787,data/raw/disruption_news/malaysia_asia_shock_2021/chip-supplies-to-take-new-hit-as-covid-19-surges-in-malaysia.txt,4c3703c2b678f8cb19918e0a500a5f04e0001cb3bff6f878380741e82d32fe82,False,2021-08-24,pandemic,unknown,"Japan; Korea, South; Taiwan; Malaysia",pandemic,supply_source,semiconductor_fabrication; semiconductor_materials; electronics,local_news,0.825,787,pandemic,supply_source,Malaysia,assembly_and_test,supply_source,not_confirmed,,2021-05-28,True,True,True,False,,False
malaysia_asia_shock_2021,tomshardware.com,industry,True,Covid Surge in Malaysia Worsens Chip Shortages,Covid Surge in Malaysia Worsens Chip Shortages,20210825T173000Z,2021-08-24T11:48:54+00:00,https://www.tomshardware.com/news/malaysia-covid-19-surge-chip-shortage,2176,data/raw/disruption_news/malaysia_asia_shock_2021/covid-surge-in-malaysia-worsens-chip-shortages.txt,cdb31bd71690750822a5c0a90e68e157343098bbaacbb5816a6fa32930e015d1,False,2021-08-24,pandemic,unknown,Malaysia,pandemic,supply_source,assembly_and_test; semiconductor_packaging; electronics_assembly,local_news,0.825,2176,pandemic,supply_source,Malaysia,assembly_and_test,supply_source,not_confirmed,,2021-05-28,True,True,True,True,,False
malaysia_asia_shock_2021,straitstimes.com,mainstream,True,Chip shortage set to worsen as Covid - 19 rampages through Malaysia,Chip shortage set to worsen as Covid-19 rampages through Malaysia,20210824T003000Z,2021-08-24T07:24:03+08:00,https://www.straitstimes.com/asia/se-asia/chip-shortage-set-to-worsen-as-covid-19-rampages-through-malaysia,6722,data/raw/disruption_news/malaysia_asia_shock_2021/chip-shortage-set-to-worsen-as-covid-19-rampages-through-malaysia.txt,ede1175b2264ac418c63da5b78f1670b95c3602e79dd3b0a6d8255fdb9a49c19,False,2021-08-24,pandemic,capacity_restriction,"Japan; Thailand; Korea, South; Taiwan; Malaysia; United States",pandemic,supply_source,semiconductor_fabrication; semiconductor_materials; electronics,local_news,0.9,6722,pandemic,supply_source,Malaysia,assembly_and_test,supply_source,not_confirmed,,2021-05-28,True,True,True,False,,False
malaysia_asia_shock_2021,soyacincau.com,verified_local,True,Global car production slows down as Malaysia pandemic situation worsens chip shortage,Global car production slows down as Malaysia’s pandemic situation worsens chip shortage,20210825T080000Z,2021-08-25T00:00:00,https://soyacincau.com/2021/08/25/global-car-manufacturers-slow-down-pandemic-in-malaysia/,2674,data/raw/disruption_news/malaysia_asia_shock_2021/global-car-production-slows-down-as-malaysia-s-pandemic-situation-worsens-chip-shortage.txt,7e278e134a875a59eeed1610a1c068b0346ed14838a324ecbae41953fd888dc2,False,2021-08-25,pandemic,unknown,"Korea, South; Taiwan; Malaysia",pandemic,supply_source,semiconductor_materials; memory_components; displays,local_news,0.825,2674,pandemic,supply_source,Malaysia,assembly_and_test,supply_source,not_confirmed,,2021-05-28,True,True,True,False,,False
panama_canal_drought_2023,bbc.co.uk,mainstream,True,El Nino drought : Panama Canal cuts ship numbers further,El Nino drought: Panama Canal cuts ship numbers further,20231101T061500Z,2023-11-01T04:52:00+00:00,https://www.bbc.co.uk/news/business-67281776,1946,data/raw/disruption_news/panama_canal_drought_2023/el-nino-drought-panama-canal-cuts-ship-numbers-further.txt,dfb4e1936de57e04086d58a9db2081257e36f956091b69230e4582f935730b39,False,2023-11-01,drought,capacity_restriction,Panama,logistics_disruption,transport_channel,canal,major_news,0.92,1946,logistics_disruption,transport_channel,Panama Canal,canal,transport_channel,confirmed,2023-11-03,2023-10-30,True,True,True,True,2.0,True
panama_canal_drought_2023,cnbc.com,mainstream,True,Panama Canal drought hits new crisis level amid severe El Nino,Panama Canal drought hits new crisis level with nearly half of vessel traffic targeted for cuts,20231103T130000Z,2023-11-03T00:00:00,https://www.cnbc.com/2023/11/03/panama-canal-drought-hits-new-crisis-level-amid-severe-el-nino.html,4841,data/raw/disruption_news/panama_canal_drought_2023/panama-canal-drought-hits-new-crisis-level-with-nearly-half-of-vessel-traffic-targeted-for.txt,c9258b1d1fafc43be1fdc0facf28065f8cbb95eaae9597308a1f600e140f32c5,False,2023-11-03,drought,capacity_restriction,China; Egypt; Panama; Red Sea,logistics_disruption,transport_channel,canal; port_terminal,local_news,0.9,4841,logistics_disruption,transport_channel,Panama Canal,canal,transport_channel,confirmed,2023-11-03,2023-10-30,True,True,True,True,0.0,True
suez_ever_given_2021,bbc.com,mainstream,True,Egypt Suez Canal blocked by large container ship,Egypt's Suez Canal blocked by huge container ship,20210324T003000Z,2021-03-23T23:15:36+00:00,https://www.bbc.com/news/world-middle-east-56505413,3625,data/raw/disruption_news/suez_ever_given_2021/egypt-s-suez-canal-blocked-by-huge-container-ship.txt,b22b73636809ca18f73ed507d07829c3492d530d4c7394936a1bd42892a2658b,False,2021-03-23,unknown,transport_disruption,China; Egypt; Panama; Red Sea,logistics_disruption,transport_channel,canal; maritime_lane; port_terminal,major_news,0.845,3625,logistics_disruption,transport_channel,"Suez Canal, Egypt",canal,transport_channel,confirmed,2021-03-23,2021-03-24,True,True,True,True,0.0,True
taiwan_drought_2021,bbc.co.uk,mainstream,True,Taiwan drought helps man retrieve phone dropped in lake a year ago,Taiwan drought: Man retrieves phone dropped in lake a year ago,20210409T054500Z,2021-04-09T05:04:35+00:00,https://www.bbc.co.uk/news/world-asia-56685406,1121,data/raw/disruption_news/taiwan_drought_2021/taiwan-drought-man-retrieves-phone-dropped-in-lake-a-year-ago-4c7aa78fff.txt,9645d1bade55f66a44c04c2384bcd593d6dbbc2ca6171fb02c74967e8f9ea84a,False,2021-04-09,drought,unknown,Taiwan,drought,supply_source,wafer_fabrication; semiconductor_fabrication; electronics,major_news,0.845,1121,drought,supply_source,Taiwan,wafer_fabrication,supply_source,not_confirmed,,2021-03-18,True,True,True,True,,False
