event_key,event_date,source,title,url,location,predicted_event_type,predicted_impact_target,trigger_module,trigger_scenario,confidence,ground_truth_event_type,ground_truth_impact_target,ground_truth_location,affected_object,predicted_object_type,ground_truth_object_type,channel,confirmation_basis,confirmation_status,confirmation_date,confirmation_type,lead_days,impact_target_match,event_type_match,early_warning_success,official_support_count,official_support_sources,location_match,object_type_match,detected_before_consequence,same_day_detection,late_detection,predicted_causes,predicted_events,v2_location,v2_event_type,v2_impact_target,predicted_object_top3,source_tier,v2_confidence,v2_event_type_match,v2_impact_target_match,v2_location_match,v2_object_top3_hit,time_available_support_count,independent_source_count,risk_score,alert_level,listening_detection_date,detection_advance_days,listening_lead_days,listening_early_warning_success
japan_earthquake_2011,2011-03-11,BBC News,Japan earthquake: Tsunami hits north-east,https://www.bbc.com/news/world-asia-pacific-12709598,Japan,earthquake,supply_source,module1_risk_propagation,baseline_moderate,0.85,earthquake,supply_source,Japan,Japan fabs and upstream semiconductor materials,not_evaluated_for_supply,semiconductor_fabrication,supply_source,census_yoy_import_anomaly,confirmed,2011-04-01,first_yoy_decline_at_or_below_20pct,21,True,True,True,1,"[{""date"": ""2011-03-11"", ""institution"": ""U.S. Geological Survey"", ""title"": ""M 9.1 - 2011 Great Tohoku Earthquake, Japan"", ""url"": ""https://earthquake.usgs.gov/earthquakes/eventpage/official20110311054624120_30/executive"", ""local_raw_path"": ""data/raw/official_event_sources/japan_earthquake_2011_usgs.html"", ""support"": ""Confirms the earthquake time, location, magnitude, and tectonic event."", ""verification_status"": ""official_page_body_verified""}]",True,,True,False,False,earthquake,physical_disaster,Japan,earthquake,supply_source,semiconductor_fabrication; semiconductor_materials; electronics,major_news,0.92,True,True,True,True,1,2,0.894,critical,2011-03-11,0,21.0,True
thai_flood_2011,2011-08-01,Bangkok Post,"North, Northeast inundated by effects of Nock-ten",http://www.bangkokpost.com/news/local/249670/north-northeast-inundated-by-effects-of-nock-ten,Unknown,other,supply_source,module1_risk_propagation,baseline_moderate,0.45,flood,supply_source,Thailand,Thailand memory component manufacturing capacity,not_evaluated_for_supply,memory_components,supply_source,census_yoy_import_anomaly,confirmed,2011-10-01,first_yoy_decline_at_or_below_20pct,61,True,False,True,1,"[{""date"": ""2011-10-17"", ""institution"": ""United Nations Office for Disaster Risk Reduction"", ""title"": ""Floods reveal risk reduction gaps in Thailand"", ""url"": ""https://www.undrr.org/news/floods-reveal-risk-reduction-gaps-thailand"", ""support"": ""Reports Thailand's worst floods in 50 years and impacts to more than 900 industrial plants and 200,000 workers."", ""verification_status"": ""official_page_body_verified""}]",False,,True,False,False,flood,physical_disaster,Thailand,flood,supply_source,memory_components; storage_devices; electronics_assembly,local_news,0.9,True,True,True,True,0,1,0.823,critical,2011-08-01,0,61.0,True
japan_export_controls_2019,2019-07-01,METI Japan,Update of METI's licensing policies and procedures on exports of controlled items to the Republic of Korea,https://www.meti.go.jp/english/press/2019/0701_001.html,Korea,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,export_control,supply_source,"Japan; Korea, South",Japan-Korea semiconductor materials corridor,not_evaluated_for_supply,semiconductor_materials,supply_source,census_yoy_import_anomaly,confirmed,2019-11-01,first_yoy_decline_at_or_below_20pct,123,True,True,True,1,"[{""date"": ""2019-09-11"", ""institution"": ""World Trade Organization"", ""title"": ""DS590: Japan - Measures Related to the Exportation of Products and Technology to Korea"", ""url"": ""https://www.wto.org/english/tratop_e/dispu_e/cases_e/ds590_e.htm"", ""local_raw_path"": ""data/raw/official_event_sources/japan_export_controls_2019_wto.html"", ""support"": ""Confirms licensing measures covering three materials used in smartphones, displays, and semiconductors."", ""verification_status"": ""official_page_body_verified""}]",True,,True,False,False,policy,export_control,"Japan; Korea, South",export_control,supply_source,semiconductor_fabrication; semiconductor_materials; electronics,official,0.95,True,True,True,True,1,2,0.949,critical,2019-07-01,0,123.0,True
covid_q1_2020,2020-01-23,BBC News,China coronavirus: Lockdown measures rise across Hubei province,https://www.bbc.com/news/world-asia-china-51217455,China,pandemic,supply_source,module1_risk_propagation,baseline_moderate,0.85,pandemic,supply_source,China,China-centered electronics supply clusters,not_evaluated_for_supply,electronics_clusters,supply_source,census_yoy_import_anomaly,confirmed,2020-05-01,first_yoy_decline_at_or_below_20pct,99,True,True,True,1,"[{""date"": ""2020-01-12"", ""institution"": ""World Health Organization"", ""title"": ""COVID-19 - China"", ""url"": ""https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON233"", ""local_raw_path"": ""data/raw/official_event_sources/covid_q1_2020_who.html"", ""support"": ""Confirms the Wuhan outbreak, 41 preliminary cases, and identification of a novel coronavirus."", ""verification_status"": ""official_page_body_verified""}]",True,,True,False,False,pandemic,capacity_restriction,China,pandemic,supply_source,electronics_clusters; semiconductor_fabrication; electronics_assembly,major_news,0.92,True,True,True,True,1,2,0.894,critical,2020-01-12,11,110.0,True
beirut_port_explosion_2020,2020-08-04,UN News,Lebanon: UN 'actively assisting' in response to huge explosions at Beirut port,https://news.un.org/en/story/2020/08/1069542,Unknown,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.7,logistics_disruption,transport_channel,"Beirut, Lebanon",Port of Beirut maritime gateway,port_terminal,port_terminal,transport_channel,observed_operational_consequence,confirmed,2020-08-04,port_destroyed,0,True,True,False,1,"[{""date"": ""2020-08-05"", ""institution"": ""United Nations"", ""title"": ""Immediate humanitarian assistance mobilized in force, to support Beirut after deadly blast"", ""url"": ""https://news.un.org/en/story/2020/08/1069712"", ""local_raw_path"": ""data/raw/official_event_sources/beirut_port_explosion_2020_un.html"", ""support"": ""Reports that the Port of Beirut was destroyed and was Lebanon's main entry point for essential supplies."", ""verification_status"": ""official_page_body_verified""}]",False,True,False,True,False,unknown,transport_disruption,Lebanon,logistics_disruption,transport_channel,port_terminal,major_news,0.845,True,True,True,True,0,1,0.834,critical,2020-08-04,0,0.0,False
suez_ever_given_2021,2021-03-24,BBC News,Egypt's Suez Canal blocked by huge container ship,https://www.bbc.com/news/world-middle-east-56505413,Red Sea,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85,logistics_disruption,transport_channel,"Suez Canal, Egypt",Suez Canal Asia-Europe shipping lane,canal,canal,transport_channel,observed_operational_consequence,confirmed,2021-03-23,canal_blocked,-1,True,True,False,1,"[{""date"": ""2021-03-29"", ""institution"": ""Suez Canal Authority"", ""title"": ""Successful Refloating of EVER GIVEN"", ""url"": ""https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/nav_29-03-2021.aspx"", ""local_raw_path"": ""data/raw/official_event_sources/suez_ever_given_2021_sca.html"", ""support"": ""Confirms the grounding response and successful refloating on 29 March 2021."", ""verification_status"": ""official_page_body_verified""}]",False,True,False,False,True,unknown,transport_disruption,Egypt; Red Sea,logistics_disruption,transport_channel,canal,major_news,0.845,True,True,True,True,0,1,0.834,critical,2021-03-24,0,-1.0,False
taiwan_drought_2021,2021-03-24,Reuters,Taiwan tightens water use as drought threatens chip output,https://www.reuters.com/article/us-taiwan-drought/taiwan-tightens-water-use-as-drought-threatens-chip-output-idUSKBN2BG1K4,Taiwan,drought,supply_source,module1_risk_propagation,baseline_moderate,0.85,drought,supply_source,Taiwan,Taiwan wafer fabrication output,not_evaluated_for_supply,wafer_fabrication,supply_source,census_yoy_import_anomaly,not_confirmed,,first_yoy_decline_at_or_below_20pct,,True,True,False,1,"[{""date"": ""2021-03-18"", ""institution"": ""Executive Yuan, R.O.C. (Taiwan)"", ""title"": ""Premier Su urges public to conserve water"", ""url"": ""https://english.ey.gov.tw/Page/61BF20C3E89B856/bb664055-d90d-49f5-8480-9372821a4550"", ""local_raw_path"": ""data/raw/official_event_sources/taiwan_drought_2021_executive_yuan.html"", ""support"": ""Confirms severe drought, sparse rainfall, and a potentially critical water shortage."", ""verification_status"": ""official_page_body_verified""}]",True,,False,False,False,drought,capacity_restriction,Taiwan,drought,supply_source,wafer_fabrication; semiconductor_fabrication; electronics,wire,0.93,True,True,True,True,1,2,0.912,critical,2021-03-18,6,,False
malaysia_asia_shock_2021,2021-05-28,New Straits Times,Malaysia goes under full lockdown again from Tuesday,https://www.nst.com.my/news/nation/2021/05/694006/malaysia-goes-under-full-lockdown-again-tuesday,Malaysia,pandemic,supply_source,module1_risk_propagation,baseline_moderate,0.85,pandemic,supply_source,Malaysia,Malaysia chip assembly and test channels,not_evaluated_for_supply,assembly_and_test,supply_source,census_yoy_import_anomaly,not_confirmed,,first_yoy_decline_at_or_below_20pct,,True,True,False,2,"[{""date"": ""2021-05-28"", ""institution"": ""Prime Minister's Office of Malaysia"", ""title"": ""Implementation of Total Lockdown"", ""url"": ""https://www.pmo.gov.my/wp-content/uploads/2021/06/Kenyataan-Media-PMO-Pelaksanaan-Total-Lockdown.pdf"", ""support"": ""Announces the nationwide first-phase social and economic lockdown for 1-14 June 2021."", ""verification_status"": ""official_pdf_indexed_not_locally_retrievable""}, {""date"": ""2021-06-01"", ""institution"": ""Malaysia Ministry of International Trade and Industry"", ""title"": ""MITI Leads CIMS 3.0 Coordination to Expedite Approvals"", ""url"": ""https://www.miti.gov.my/miti/resources/Media%20Release/MEDIA%20RELEASE_CIMS%203.0%20UPDATES_1%20JUNE%202021.pdf"", ""local_raw_path"": ""data/raw/official_event_sources/malaysia_asia_shock_2021_miti.pdf"", ""support"": ""Confirms operating approvals for permitted economic sectors during the 1-14 June Movement Control Order."", ""verification_status"": ""official_pdf_saved_locally_not_text_parsed""}]",True,,False,False,False,pandemic,capacity_restriction,Malaysia,pandemic,supply_source,assembly_and_test; semiconductor_packaging; electronics_assembly,local_news,0.9,True,True,True,True,1,2,0.857,critical,2021-05-28,0,,False
yantian_port_covid_2021,2021-06-03,Reuters,Major shipping firms warn of worsening congestion at China's Yantian port,https://www.reuters.com/world/asia-pacific/major-shipping-firms-warn-worsening-congestion-chinas-yantian-port-2021-06-03/,China,logistics_disruption,transport_channel,module2_transportation,lane_rerouting_check,0.85,logistics_disruption,transport_channel,"Yantian, China",Yantian international container terminal,port_terminal,port_terminal,transport_channel,observed_operational_consequence,confirmed,2021-05-25,container_acceptance_stopped,-9,True,True,False,1,"[{""date"": ""2021-05-28"", ""institution"": ""Yantian District Government"", ""title"": ""Yantian Port restarts receiving containers"", ""url"": ""https://www.yantian.gov.cn/English/news/content/post_8819036.html"", ""local_raw_path"": ""data/raw/official_event_sources/yantian_port_covid_2021_government.html"", ""support"": ""States that the port stopped accepting containers on 25 May and later restarted restricted intake."", ""verification_status"": ""official_page_body_verified""}]",True,True,False,False,True,unknown,transport_disruption,China,logistics_disruption,transport_channel,port_terminal,wire,0.855,True,True,True,True,0,1,0.853,critical,2021-06-03,0,-9.0,False
panama_canal_drought_2023,2023-10-31,Reuters,Panama canal says will slash booking slots due to drought,https://www.reuters.com/business/panama-canal-says-will-slash-booking-slots-due-drought-2023-10-31/,Unknown,drought,supply_source,module1_risk_propagation,baseline_moderate,0.7,logistics_disruption,transport_channel,Panama Canal,Panama Canal vessel transit capacity,canal,canal,transport_channel,observed_operational_consequence,confirmed,2023-11-03,daily_transits_reduced,3,False,False,True,1,"[{""date"": ""2023-10-30"", ""institution"": ""Panama Canal Authority"", ""title"": ""Reduction in Transits Due to the Ongoing Deficit in Precipitation in the Canal Watershed"", ""url"": ""https://pancanal.com/wp-content/uploads/2023/01/ADV48-2023-Reduction-in-Transits-Due-to-the-Ongoing-Deficit-in-Precipitation-in-the-Canal-Watershed.pdf"", ""local_raw_path"": ""data/raw/official_event_sources/panama_canal_drought_2023_acp.pdf"", ""support"": ""Sets out the phased reduction in daily canal transits beginning 3 November 2023."", ""verification_status"": ""official_pdf_indexed""}]",False,True,True,False,False,drought,capacity_restriction,Panama,logistics_disruption,transport_channel,canal,wire,0.93,True,True,True,True,1,2,0.912,critical,2023-10-30,1,4.0,True
