event_date,source,title,url,location,event_type,impact_target,trigger_module,trigger_scenario,confidence,replay_id,detected_time,alert_lead_indicator,expected_effect_window_days,evaluation_basis,proxy_confirmation_delay_days,proxy_confirmation_time,proxy_lead_days
2022-10-13,Federal Register,Implementation of Additional Export Controls: Certain Advanced Computing and Semiconductor Manufacturing Items; Supercomputer and Semiconductor End Use; Entity List Modification,https://www.federalregister.gov/documents/2022/10/13/2022-21658/implementation-of-additional-export-controls-certain-advanced-computing-and-semiconductor,China,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R001,2022-10-13,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2022-11-12,30
2023-01-18,Federal Register,Implementation of Additional Export Controls: Certain Advanced Computing and Semiconductor Manufacturing Items; Supercomputer and Semiconductor End Use; Entity List Modification; Updates to the Controls To Add Macau,https://www.federalregister.gov/documents/2023/01/18/2023-00888/implementation-of-additional-export-controls-certain-advanced-computing-and-semiconductor,China,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R002,2023-01-18,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2023-02-17,30
2023-05-23,Federal Register,Implementation of Additional Sanctions Against Russia and Belarus Under the Export Administration Regulations (EAR) and Refinements to Existing Controls,https://www.federalregister.gov/documents/2023/05/23/2023-10774/implementation-of-additional-sanctions-against-russia-and-belarus-under-the-export-administration,Belarus; Iran; Russia,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R003,2023-05-23,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2023-06-22,30
2023-10-11,Federal Register,Addition of Entities to the Entity List,https://www.federalregister.gov/documents/2023/10/11/2023-22536/addition-of-entities-to-the-entity-list,China; UAE,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R004,2023-10-11,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2023-11-10,30
2023-10-25,Federal Register,Implementation of Additional Export Controls: Certain Advanced Computing Items; Supercomputer and Semiconductor End Use; Updates and Corrections,https://www.federalregister.gov/documents/2023/10/25/2023-23055/implementation-of-additional-export-controls-certain-advanced-computing-items-supercomputer-and,China,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R005,2023-10-25,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2023-11-24,30
2024-08-27,Federal Register,Revisions to the Entity List,https://www.federalregister.gov/documents/2024/08/27/2024-19130/revisions-to-the-entity-list,China; Iran; Russia; UAE,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R006,2024-08-27,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2024-09-26,30
2024-11-01,Federal Register,Additions and Revisions of Entities to the Entity List,https://www.federalregister.gov/documents/2024/11/01/2024-25411/additions-and-revisions-of-entities-to-the-entity-list,Belarus; China; Malaysia; Russia; UAE,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R007,2024-11-01,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2024-12-01,30
2025-09-16,Federal Register,Additions and Revisions to the Entity List,https://www.federalregister.gov/documents/2025/09/16/2025-17893/additions-and-revisions-to-the-entity-list,Belarus; China; Iran; Russia; Taiwan; UAE,export_control,supply_source,module1_risk_propagation,top_1_supplier_failure,0.98,R008,2025-09-16,policy_signal_early,30,testing_proxy_not_observed_confirmation,30,2025-10-16,30
2026-08-07,Google News RSS,GLICS deploy RM1.4bil to elevate Malaysia's semiconductor value chain - The Star,https://news.google.com/rss/articles/CBMiywFBVV95cUxPSXMtMDBUaXNPMXc0Z2FNUktucWFVWjkzbENhMGx4emVEVFpaV3U1V3VYd0M4Z0hBd0JUa2szMUdic0tiYkM2bjN0MHJsd0VCbFB4VmdZaklfcWxkZ0lyV3dSUXZnd2ZHNkFnZ25VUnpIYVNyU25HaXpBdlQ5aGlicW16bUxMU2pOYkxYWHVuMWhkOUk3Mm56OUlfY29GYlE4NDlpYXF5UEZtdFdUZ21Yb1ltX0JsZ1hJTmxTVUliMGltY2FEM2NscUJwYw?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R009,2026-08-07,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-06,30
2026-08-07,Google News RSS,Capital Market Key In Powering Semiconductor Growth Phase - BusinessToday Malaysia,https://news.google.com/rss/articles/CBMipAFBVV95cUxQR1RjZTlzRjJkZmg5NDlody1WX1I5OFFwcVlKNEdRTGVxb0dnTUYzV2JTQWMtMnhyUml6NFVZTnNPSGtFN3owMzQ3OTR0Y2o4SHVzS1N1R2VyYzNSVERMTzNEWHM3VTJ1TDlpYTZxZkR5dkZYZk5udUlsWGVLbkF6NWdSQUxQZXhIaTFodncwRjVGSTRuVXhnY2h1TGRGNDljcEkyQg?oc=5,Malaysia,semiconductor_policy,supply_source,module1_risk_propagation,top_1_supplier_failure,0.85,R010,2026-08-07,market_signal_fast,30,testing_proxy_not_observed_confirmation,30,2026-09-06,30
